activity	segment	subject	average_mean	average_std
LAYING	test	56	-0.482137625981818	0.0456187105796031
LAYING	test	57	-0.512215950384848	0.0193740549029489
LAYING	test	58	-0.519393674969697	0.00956109993023916
LAYING	test	59	-0.521075536909091	0.00288744243179402
LAYING	test	60	-0.520828901369697	0.00133929767349607
LAYING	test	61	-0.521090922618182	0.00184060827221051
LAYING	test	62	-0.520675421763636	0.00196587056386783
LAYING	test	63	-0.519345775845455	0.00230573885632136
LAYING	test	64	-0.520330959757576	0.00433256972187771
LAYING	test	65	-0.520963354433333	0.00359995025356903
LAYING	test	66	-0.517709679	0.00725544335611476
LAYING	test	67	-0.454201268606061	0.0722734869023686
LAYING	test	68	-0.490733103236364	0.0530672355440779
LAYING	test	69	-0.507918903512121	0.0179281569590123
LAYING	test	70	-0.512396596060606	0.0120319167900108
LAYING	test	71	-0.513769666457576	0.00645191903802942
LAYING	test	72	-0.511892077393939	0.00758074296385549
LAYING	test	73	-0.513718851848485	0.00781067202554759
LAYING	test	74	-0.511606466309091	0.00739893526215474
LAYING	test	75	-0.510669855745455	0.0091782552294888
LAYING	test	76	-0.512534987847273	0.00808076583431842
LAYING	test	77	-0.511930941918182	0.00717044717853817
LAYING	test	78	-0.51124321130303	0.00981889043877189
LAYING	test	79	-0.512319102466667	0.0104427612350975
LAYING	test	204	-0.429164588833333	0.0918268122189191
LAYING	test	205	-0.480484450939394	0.0523286521137319
LAYING	test	206	-0.500073192	0.0293890364677187
LAYING	test	207	-0.510421299845455	0.0098187729578923
LAYING	test	208	-0.511023226	0.00322535208075998
LAYING	test	209	-0.511207314484848	0.00323450677224488
LAYING	test	210	-0.51110361387	0.00344451820734471
LAYING	test	211	-0.508927118136364	0.00462401824324238
LAYING	test	212	-0.511511315881818	0.00286411107818053
LAYING	test	213	-0.512993700784849	0.00224185292318995
LAYING	test	214	-0.511960891393939	0.00306346130762806
LAYING	test	215	-0.447353073272727	0.0405526414657297
LAYING	test	216	-0.494959551854545	0.031384750871367
LAYING	test	217	-0.505377370672727	0.0113543855470104
LAYING	test	218	-0.506001650275758	0.00466875277678969
LAYING	test	219	-0.506081138313333	0.00363568500329101
LAYING	test	220	-0.509604790818182	0.00270876712971629
LAYING	test	221	-0.509362601463636	0.00363874659141109
LAYING	test	222	-0.508895403384849	0.00252845007577151
